PT	AU	BE	TI	X1	Y1	Z1	SO	LA	DT	DE	X5	Y5	Z5	AB	X4	Y4	Z4	C1	EM	RI	OI	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	PD	PY	VL	IS	BP	EP	DI	EC	C2	SC	UT	OA	HC	HP	DA
J	Bastos, Pedro Paulo Zahluth		A economia política do novo-desenvolvimentismo e do social desenvolvimentismo	The political economy of new developmentalism and social developmentalism in Brazil			Economia e Sociedade																								1982-3533	12	2012	21	spe	779	810	10.1590/S0104-06182012000400004				SCIELO:S0104-06182012000400004	gold				
J	Carneiro, Ricardo de Medeiros		Velhos e novos desenvolvimentismos	New and old developmentalisms			Economia e Sociedade																								1982-3533	12	2012	21	spe	749	778	10.1590/S0104-06182012000400003				SCIELO:S0104-06182012000400003	gold				
J	Suzigan, Wilson; Furtado, João		Política industrial e desenvolvimento	Industrial policy and development			Revista de Economia Política																								1809-4538	06	2006	26	2	163	185	10.1590/S0101-31572006000200001				SCIELO:S0101-31572006000200001	gold				
J	Rohrich, Sandra Simm; Cunha, João Carlos da		A proposição de uma taxonomia para análise da gestão ambiental no Brasil				Revista de Administração Contemporânea																								1982-7849	12	2004	8	4	81	97	10.1590/S1415-65552004000400005				SCIELO:S1415-65552004000400005	gold				
J	Faria, Flavia Peixoto; Jannuzzi, Paulo de Martino; Silva, Silvano José da		Eficiência dos gastos municipais em saúde e educação: uma investigação através da análise envoltória no estado do Rio de Janeiro	Efficiency of municipal expenditure in health and education: an investigation using data envelopment analysis in the state of Rio de Janeiro, Brazil			Revista de Administração Pública													Jannuzzi, Paulo/B-4532-2014	Jannuzzi, Paulo/0000-0003-3528-7497										0034-7612	02	2008	42	1	155	177	10.1590/S0034-76122008000100008				SCIELO:S0034-76122008000100008	gold				
J	Cano, Wilson		A desindustrialização no Brasil	Deindustralization in Brazil			Economia e Sociedade																								1982-3533	12	2012	21	spe	831	851	10.1590/S0104-06182012000400006				SCIELO:S0104-06182012000400006	gold				
J	Hoffmann, Rodolfo		Desigualdade da renda e das despesas per capita no Brasil, em 2002-2003 e 2008-2009, e avaliação do grau de progressividade ou regressividade de parcelas da renda familiar	Income and spending inequality in Brazil in 2002-2003 and 2008-2009 and an evaluation of the degree of progressivity or regressivity of components of family income			Economia e Sociedade																								1982-3533	12	2010	19	3	647	661	10.1590/S0104-06182010000300010				SCIELO:S0104-06182010000300010	gold				
J	Prates, Daniela Magalhães		As assimetrias do sistema monetário e financeiro internacional	The asymmetries of the international monetary and financial			Revista de Economia Contemporânea																								1980-5527	08	2005	9	2	263	288	10.1590/S1415-98482005000200002				SCIELO:S1415-98482005000200002	gold				
J	Suzigan, Wilson; Albuquerque, Eduardo da Motta e		The underestimated role of universities for the Brazilian system of innovation				Revista de Economia Política													Albuquerque, Eduardo/K-5225-2012	Albuquerque, Eduardo/0000-0002-1591-875X; Suzigan, Wilson/0000-0002-2193-4756										1809-4538	03	2011	31	1	03	30	10.1590/S0101-31572011000100001				SCIELO:S0101-31572011000100001	gold				
J	Suzigan, Wilson; Furtado, João		Instituições e políticas industriais e tecnológicas: reflexões a partir da experiência brasileira				Estudos Econômicos (São Paulo)														Suzigan, Wilson/0000-0002-2193-4756										1980-5357	03	2010	40	1	7	41	10.1590/S0101-41612010000100001				SCIELO:S0101-41612010000100001	gold				
J	Prates, Daniela Magalhães		A alta recente dos preços das commodities	The recent rise of commodities prices			Revista de Economia Política																								1809-4538	09	2007	27	3	323	344	10.1590/S0101-31572007000300001				SCIELO:S0101-31572007000300001	gold				
J	Martins, Rafael D'Almeida; Vaz, José Carlos; Caldas, Eduardo de Lima		A gestão do desenvolvimento local no Brasil: (des)articulação de atores, instrumentos e território	Local development management in Brazil: actors' (dis)articulation, instruments and territory			Revista de Administração Pública														Martins, Rafael/0000-0002-2937-6170										0034-7612	06	2010	44	3	559	590	10.1590/S0034-76122010000300002				SCIELO:S0034-76122010000300002	gold				
J	Hoffman, Rodolfo		Desigualdade da distribuição da renda no Brasil: a contribuição de aposentadorias e pensões e de outras parcelas do rendimento domiciliar per capita	Inequality of income distribution in Brazil: the contribution of pensions and of other components of per capita household income			Economia e Sociedade																								1982-3533	04	2009	18	1	213	231	10.1590/S0104-06182009000100007				SCIELO:S0104-06182009000100007	gold				
J	Carneiro, Ricardo		Globalização e inconversibilidade monetária	Globalization and monetary inconvertibility			Revista de Economia Política																								1809-4538	12	2008	28	4	539	556	10.1590/S0101-31572008000400001				SCIELO:S0101-31572008000400001	gold				
J	Bueno, Bruna; Balestrin, Alsones		Inovação colaborativa: uma abordagem aberta no desenvolvimento de novos produtos	Collaborative innovation: an open approach in the development of new products	Innovación colaborativa: un abordaje abierto en el desarrollo de nuevos productos		Revista de Administração de Empresas																								2178-938X	10	2012	52	5	517	530	10.1590/S0034-75902012000500004				SCIELO:S0034-75902012000500004	gold				
J	Paula, Ana Paula Paes de; Maranhão, Carolina Machado Saraiva de Albuquerque; Barros, Amon Narciso de		Pluralismo, pós-estruturalismo e "gerencialismo engajado": os limites do movimento critical management studies	Pluralism, post-structuralism and "engagement management": limits for the critical management studies movement			Cadernos EBAPE.BR														Barros, Amon/0000-0002-9748-7788										1679-3951	09	2009	7	3	393	404	10.1590/S1679-39512009000300002				SCIELO:S1679-39512009000300002	gold				
J	Martins, Rafael D'Almeida; Caldas, Eduardo de Lima		Visões do Desenvolvimento Local: uma análise comparada de experiências brasileiras	Visions de développement local: une analyse comparative de l'expérience brésilienne	Visions of Local Development: an comparative analysis of Brazilian Experiences	Visiones de Desarrollo Local: un análisis comparado de experiencias brasileras	Interações (Campo Grande)														Martins, Rafael/0000-0002-2937-6170										1984-042X	12	2009	10	2	207	218	10.1590/S1518-70122009000200008				SCIELO:S1518-70122009000200008	gold				
